"","13. Outras politicas de lideranca","7. Processo de concessao de pol. trab flexivel","12. Politicas de lideranca","5. Outras politicas de jornada flexivel","9. Politicas contra disccriminacao de genero","2. Controladora","11. Subestimacao e Preconceito","6. Como e a quem praticas de jornada flexivel","3. Medidas de conc. trab-familia-pessoal","1. IP","8. Monitoramento de politicas de trab  flexivel","10. Outras politicas contra discriminacao de genero","4. Politicas de jornada flexivel"
"17",""," -","A empresa possui práticas não formalizadas de incentivo à liderança feminina; A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; A empresa promove networking entre as colaboradoras da empresa; As práticas ou o programa de incentivo à liderança feminina são explicitamente alinhados ao planejamento de sucessão da empresa","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais; A empresa possui métricas para avaliar o sucesso de seus programas contra a discriminação de gênero e o assédio sexual","Magazine Luiza","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa possui treinamento facultativo de diversidade; A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa concede políticas de jornada de trabalho flexível apenas para mulheres que voltaram de licença-maternidade; A empresa oferece políticas de jornada de trabalho flexível apenas para pais/mães que voltaram de licença maternidade/paternidade; A empresa não possui políticas de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa compensa as horas extras de todos/as os/as colaboradores/as, incluindo gerentes e executivos/as, de forma regular e registrada (banco de horas); A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","186.210.84.173","A empresa monitora, em equipes que possuem colaboradores/as que utilizam políticas de trabalho flexível, questões de comunicação, quantidade de trabalho, distribuição do trabalho, coordenação e comunicação dentre os membros do time","","Flextime: permite variação de horário na chegada e na saída do trabalho"
"18","","Cada situação deve ser negociada com o gestor que recebe formação específica e tem autonomia para deliberar a questão, resolvendo as demandas específicas junto ao  RH.","A empresa possui práticas não formalizadas de incentivo à liderança feminina; A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais","Grupo Boticário","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa possui programa de treinamento facultativo sobre bias (viéses) e preconceitos de gênero","A empresa concede políticas de trabalho flexível para todos seus/suas colaboradores/as, independentemente da comprovação de demandas específicas","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","200.250.232.240","A empresa não possui política de monitoramento de políticas de trabalho flexível","","Flextime: permite variação de horário na chegada e na saída do trabalho"
"19","","Analisamos caso a caso. Sim, é avaliado a necessidade dos colaboradores/as, seu comprometimento e qualidade do seu trabalho, além da viabilidade do tipo de atividade executada.","A empresa não desenvolve ações relativas a programas de incentivo à liderança feminina.","","A empresa não possui política contra discriminação de gênero, assédio moral ou assédio sexual contra colaboradoras","IVIA","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero","A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","177.184.137.202","A empresa não possui política de monitoramento de políticas de trabalho flexível","","A empresa adota informalmente práticas de jornada trabalho flexível"
"20","","Não temos política de jornada flexível.","A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; A empresa promove networking entre as colaboradoras da empresa; As redes de networking feminino da empresa são formalmente estabelecidas","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as","Anheuser-Busch InBev","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui programa de treinamento facultativo sobre bias (viéses) e preconceitos de gênero; A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa não possui políticas de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima","177.81.33.45","A empresa não possui política de monitoramento de políticas de trabalho flexível","","A empresa adota informalmente práticas de jornada trabalho flexível"
"21","","nt","A empresa não desenvolve ações relativas a programas de incentivo à liderança feminina.","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as","Brookfield","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa não tem políticas ou práticas e trata das questões atinentes ao tema à medida que surgem necessidades","A empresa não possui políticas de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa realiza o pagamento de todas as horas extras mas não as evita; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","177.130.115.18","A empresa não possui política de monitoramento de políticas de trabalho flexível","","A empresa adota informalmente práticas de jornada trabalho flexível; A empresa não possui política de trabalho flexível"
"22","","A restrição a jornadas flexíveis acontece apenas por definição legal ou para os casos que a infraestrutura não permite, como é o caso de colaboradores em linha de produção.","A empresa não desenvolve ações relativas a programas de incentivo à liderança feminina.","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as","Bayer","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui treinamento facultativo de diversidade; A empresa possui programa de treinamento facultativo sobre bias (viéses) e preconceitos de gênero","A empresa concede políticas de jornada de trabalho flexível apenas para cargos específicos","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa compensa as horas extras de todos/as os/as colaboradores/as, incluindo gerentes e executivos/as, de forma regular e registrada (banco de horas); A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","200.182.3.9","A empresa monitora, em equipes que possuem colaboradores/as que utilizam políticas de trabalho flexível, questões de comunicação, quantidade de trabalho, distribuição do trabalho, coordenação e comunicação dentre os membros do time; A empresa possui processos de obtenção de feedback sobre as políticas de trabalho flexível","","Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa.; Jornadas com redução de dias/horas: funcionários/as podem trabalhar um número menor de dias por semana, ou um número menor de horas por dia"
"23","","A concessão se deve ao fato do nosso ramo de atividade estar atrelado à necessidade pontual de cada cliente. Tem projeto que o cliente quer atuação no período da tarde para a noite, outros as vezes são jornadas 24x7, onde demanda mais de uma equipe para execução, ou seja, somos Taylor Made.","A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato)","Klar Construtora ","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa possui treinamento obrigatório de diversidade","A empresa concede políticas de trabalho flexível para todos seus/suas colaboradores/as, independentemente da comprovação de demandas específicas","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa analisa caso a caso as demandas dos/as colaboradores/as","186.225.109.202","A empresa monitora, em equipes que possuem colaboradores/as que utilizam políticas de trabalho flexível, questões de comunicação, quantidade de trabalho, distribuição do trabalho, coordenação e comunicação dentre os membros do time","","Flextime: permite variação de horário na chegada e na saída do trabalho"
"24","","NT","A empresa possui práticas não formalizadas de incentivo à liderança feminina; A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; A empresa promove networking entre as colaboradoras da empresa; A empresa oferece treinamento de desenvolvimento de habilidades de liderança específico para mulheres; As práticas ou o programa de incentivo à liderança feminina são explicitamente alinhados ao planejamento de sucessão da empresa","Política de concessão de horas para capacitação externa.","A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais; A empresa possui outras políticas contra a discriminação de gênero, assédio moral ou assédio sexual","Beleza Natural","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa possui treinamento facultativo de diversidade; A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa concede políticas de trabalho flexível para todos seus/suas colaboradores/as, independentemente da comprovação de demandas específicas","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa compensa as horas extras de todos/as os/as colaboradores/as, incluindo gerentes e executivos/as, de forma regular e registrada (banco de horas); A empresa realiza o pagamento de todas as horas extras mas não as evita; A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho","177.142.50.201","A empresa não possui política de monitoramento de políticas de trabalho flexível","Política Diversidade BN","Flextime: permite variação de horário na chegada e na saída do trabalho; A empresa possui outras políticas de jornada de trabalho flexível"
"25","","O trabalho flexível está disponível para todos os colaboradores administrativos. São aproximadamente quinze mil colaboradores atualmente.","A empresa oferece programa/ações de incentivo à liderança feminina apenas a cargos específicos ou à potenciais lideranças femininas que tenham sido identificadas; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; A empresa oferece treinamento de desenvolvimento de habilidades de liderança específico para mulheres","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual","Grupo Telefónica","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres","A empresa concede políticas de jornada de trabalho flexível apenas para cargos específicos","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","177.43.58.174","A empresa possui outra prática ou política de monitoramento de políticas de trabalho flexível","","Flextime: permite variação de horário na chegada e na saída do trabalho"
"26","Incentiva participação em eventos que tratam o tema e recentemente fui indicada para participar do ""Grupo Mulheres do Brasil"".","NT","A empresa possui outras ações nesse sentido","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa possui outras políticas contra a discriminação de gênero, assédio moral ou assédio sexual","NT","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero","A empresa não possui políticas de jornada de trabalho flexível","A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima","200.192.173.122","A empresa não possui política de monitoramento de políticas de trabalho flexível","Está no manual de conduta, prevendo sanção aos descumpridores.","A empresa não possui política de trabalho flexível"
"27","Políticas de Talent Acquisition são compostas com itens que visão garantir equidade de gênero.","Alinhamento com liderança direta, baseando-se em política de horário flexível.\n Gestão das demandas de trabalho.","A empresa possui outras ações nesse sentido"," - Flexibilidade em entrada e saída entre 07h e 09h e saída escalonada;\n - Trabalho home office, quando necessário e alinhado com a Gerencia Direta;\n - Política de compensação de horas para pontes/emendas de feriados, estruturada e divulgadas desde o início do ano para todos os colaboradores.\n - Férias coletivas no final do ano.","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais","TECNOFARMA SA","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","191.17.53.208","A empresa monitora a qualidade do relacionamento de colaboradores/as que utilizam políticas de trabalho flexível com seus/suas superiores imediatos/as; A empresa monitora, em equipes que possuem colaboradores/as que utilizam políticas de trabalho flexível, questões de comunicação, quantidade de trabalho, distribuição do trabalho, coordenação e comunicação dentre os membros do time; A empresa possui processos de obtenção de feedback sobre as políticas de trabalho flexível; A empresa monitora se mulheres que usufruem de políticas de trabalho flexível estão conseguindo promoções e desenvolvendo suas carreiras","","A empresa adota informalmente práticas de jornada trabalho flexível; Flextime: permite variação de horário na chegada e na saída do trabalho; A empresa possui outras políticas de jornada de trabalho flexível"
"28","","as novas mamães e papais tem programas de flexibilidade. Programa Novo Pai: iniciativa de\n flexibilidade no trabalho. Até o primeiro mês de vida de seus filhos, os pais trabalham meio período no escritório ou\n projeto e o outro período, em casa. O Programa Nova Mãe permite as novas mães trabalharem meio período em\n casa e meio período no escritório ou projeto, até o primeiro ano de vida de seus filhos. Para as mães que já\n passaram da licença maternidade também é possível aderir às seguintes iniciativas: alteração de carga horária e\n atuação em home Office sempre que possível. Estes são apenas alguns exemplos de como é possível, dentro de um\n planejamento adequado, adotar um trabalho flexível que facilita o dia a dia e gera mais qualidade de vida.","A empresa possui práticas não formalizadas de incentivo à liderança feminina; A empresa oferece programa/ações de incentivo à liderança feminina apenas a cargos específicos ou à potenciais lideranças femininas que tenham sido identificadas; A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; A empresa promove networking entre as colaboradoras da empresa; As redes de networking feminino da empresa são formalmente estabelecidas; A empresa oferece treinamento de desenvolvimento de habilidades de liderança específico para mulheres","Programa Nova Mãe\n O Programa Nova Mãe permite às novas mães trabalharem meio\n período em casa e meio período no escritório ou projeto, até o primeiro ano de vida de seus filhos. Para as mães\n que já passaram da licença maternidade, também é possível aderir às seguintes iniciativas: alteração de carga\n horária e atuação em home Office sempre que possível\n iniciativa de\n flexibilidade no trabalho. Até o primeiro mês de vida de seus filhos, os pais trabalham meio período no escritório ou\n projeto e o outro período, em casa.","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais; A empresa possui métricas para avaliar o sucesso de seus programas contra a discriminação de gênero e o assédio sexual; A empresa possui outras políticas contra a discriminação de gênero, assédio moral ou assédio sexual","Accenture","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa possui treinamento facultativo de diversidade; A empresa possui programa de treinamento facultativo sobre bias (viéses) e preconceitos de gênero; A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa oferece políticas de jornada de trabalho flexível apenas para pais/mães que voltaram de licença maternidade/paternidade; A empresa concede políticas de trabalho flexível para todos seus/suas colaboradores/as, independentemente da comprovação de demandas específicas; A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","177.32.62.30","A empresa monitora, em equipes que possuem colaboradores/as que utilizam políticas de trabalho flexível, questões de comunicação, quantidade de trabalho, distribuição do trabalho, coordenação e comunicação dentre os membros do time; A empresa possui processos de obtenção de feedback sobre as políticas de trabalho flexível","Programa Escolha Ética: a Accenture é reconhecida internacionalmente como uma das empresas mais éticas do\n mundo. As condutas refletem, dia a dia, os valores e o cuidado que a companhia tem com as pessoas e com os\n negócios. A Accenture investe localmente em ações que promovem nossos valores e Código de Ética Empresarial,\n incentivam a denúncia de comportamentos inadequados – por meio de canais específicos e o tratamento justo para\n cada um dos casos reportados. O Programa Escolha Ética estimula a vivência dos core values e permite que, como\n organização, sejamos sempre um exemplo.\n O comportamento de cada um dos profissionais se reflete no relacionamento com os clientes, colegas, comunidades\n e, consequentemente, no sucesso da empresa. Na busca contínua pela criação de valor e crescimento rentável dos\n negócios, é fundamental demonstrar sempre o mais alto nível de profissionalismo. A empresa estimula que cada um\n seja a principal fonte de inspiração e exemplo de conduta para os outros profissionais que o rodeiam. A Accenture\n disponibiliza um hotsite do Programa Escolha Ética, com normas, regras e orientações da companhia para garantir a\n ética em todas as suas relações.\n O Programa Conduct Counts é uma inciativa planejada para reforçar o comportamento que a empresa espera dos\n seus profissionais na tarefa de manter um ambiente de trabalho respeitoso, ético e justo. Essa meta é alcançada\n quando colocamos em prática os nossos valores essenciais e o Código de Ética Empresarial – o nosso Accenture\n Way.","A empresa possui política formal de jornada de trabalho flexível de meio período; Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa.; Jornadas com redução de dias/horas: funcionários/as podem trabalhar um número menor de dias por semana, ou um número menor de horas por dia; Arranjos contratuais sazonais: funcionários/as trabalham em tempo integral ou parcial por menos de seis meses durante o ano; A empresa possui outras políticas de jornada de trabalho flexível"
"29","A empresa possui programas específicos (Projeto integra)","Avaliado cada situação","A empresa possui práticas não formalizadas de incentivo à liderança feminina; A empresa promove networking entre as colaboradoras da empresa; A empresa oferece treinamento de desenvolvimento de habilidades de liderança específico para mulheres; A empresa possui outras ações nesse sentido","Part Time (Tempo parcial)","A empresa possui outras políticas contra a discriminação de gênero, assédio moral ou assédio sexual","GRUPO ANGÁ","A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero","A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as","201.74.98.169","A empresa possui outra prática ou política de monitoramento de políticas de trabalho flexível","Nos treinamentos com os gestores é mencionado sobre o assunto.","A empresa adota informalmente práticas de jornada trabalho flexível; A empresa possui política formal de jornada de trabalho flexível de meio período; Jornadas com redução de dias/horas: funcionários/as podem trabalhar um número menor de dias por semana, ou um número menor de horas por dia; Arranjos contratuais sazonais: funcionários/as trabalham em tempo integral ou parcial por menos de seis meses durante o ano; A empresa possui outras políticas de jornada de trabalho flexível"
